m/z 198	m/z 192	m/z 184	m/z 178	m/z 170	m/z 156	m/z 142	m/z 205	m/z 259	m/z 253	m/z 231	m/z 218	m/z 217	m/z 191	m/z 177	m/z 219	m/z 206	Retention time (min)
4812.065918	6534.618652	15598.790039	29479.728516	4855.177734	29097.365234	82636.8125	991.201355	316.240112	764.412109	394.73288	273.095612	481.503143	2875.732178	5856.069824	468.806335	1435.056396	10.451784981534674
9589.383789	5044.745117	25247.291016	111698.210938	7738.650879	52669.417969	88345.554688	807.171631	179.385132	842.493286	309.088959	423.155243	456.771027	3404.36084	12886.155273	395.337006	1515.554077	10.475584735330324
10918.586914	3909.430908	21783.462891	147533.53125	16540.580078	23315.857422	49264.855469	659.462952	254.92691	746.792297	379.560211	338.40625	591.883301	3364.722412	34149.707031	321.204132	1108.02002	10.499384489125974
8550.458984	2645.084961	34846.105469	115026.40625	23721.957031	23512.001953	45948.691406	522.050964	300.389618	566.15387	405.297852	244.163315	419.264313	2023.884277	37749.746094	366.150787	1222.681152	10.523184242921625
7455.660156	2423.579102	29282.535156	75812.835938	12018.402344	30638.101563	60564.609375	615.851501	415.012939	555.275574	389.922424	286.718048	425.923981	1707.930908	22522.507813	513.916809	997.80365	10.546983996717275
12106.648438	3035.621582	26648.066406	68477.257813	11717.447266	29906.421875	130998.070313	638.681152	292.533997	446.402649	313.758087	263.224884	414.111877	1608.879517	15083.644531	500.417267	1443.287354	10.570783750512925
15216.280273	3928.320557	37069.886719	60497.894531	10165.96582	43454.320313	111920.835938	651.566345	342.305389	296.105469	438.964813	350.759003	457.297333	1724.625122	26079.896484	396.926147	1093.117065	10.594583504308575
12228.595703	3098.27002	22497.904297	66637.539063	15216.608398	28937.943359	62234.851563	558.412903	271.129669	438.547028	298.063232	312.373749	304.657379	1499.334961	23375.800781	323.161896	1096.674805	10.618383258104227
9988.595703	3239.581299	17085.300781	83147.789063	30912.990234	25280.492188	52774.933594	607.987732	222.28389	442.356079	246.694489	270.441559	334.679138	1970.393921	22179.765625	360.203766	1199.395874	10.642183011899878
98163.335938	5185.913574	37665.324219	120985.40625	63103.113281	57316.554688	58966.6875	798.881836	316.649689	727.14093	291.845886	301.495453	421.336761	1817.81958	23741.166016	450.121582	1310.480469	10.665982765695528
223926.140625	5420.758301	64113.964844	89940.898438	35475.960938	114633.210938	46212.433594	736.987061	305.812378	590.171265	350.349426	443.674896	586.829102	2371.022705	26179.306641	393.952637	1115.687134	10.689782519491178
486771.71875	8709.209961	117338.632813	93502.945313	53339.253906	168677.203125	66245.921875	619.742493	338.17688	528.210938	360.78537	372.179688	433.501099	2177.6875	23722.302734	379.26532	1145.577881	10.713582273286828
130617.117188	4275.737305	63378.695313	108473.34375	38601.8125	135163.21875	61915.367188	672.933289	301.708435	453.480103	430.765137	371.188538	421.189301	2236.305664	26352.691406	345.50827	1038.917725	10.737382027082479
28318.341797	3331.497803	22472.019531	82658.476563	18541.75	56457.398438	25327.355469	650.640747	309.203644	340.740814	332.877014	392.789459	367.322144	1735.151123	23743.318359	465.742737	913.423279	10.761181780878129
41983.292969	4457.604492	13880.029297	77932.398438	31085.714844	22110.841797	30806.140625	635.26532	296.203766	206.605408	316.616913	325.029572	385.957764	1914.577271	25219.291016	269.3685	1044.626099	10.78498153467378
21173.640625	5321.365723	9541.333008	161728.125	22941.587891	20983.486328	28270.560547	452.685516	295.679504	207.203384	348.317932	299.889923	339.004211	1788.55957	36788.328125	286.546021	1010.426697	10.80878128846943
12366.359375	8038.155762	10026.235352	144017.28125	16318.730469	20271.214844	23471.265625	481.265594	338.930511	365.323425	347.932922	301.44632	505.905548	1927.953979	52230.242188	430.863434	1022.828613	10.83258104226508
9834.366211	7931.404785	12139.700195	107285.257813	11888.649414	11429.385742	28887.484375	504.857025	288.634827	493.700256	335.629333	363.021637	340.216553	2231.693848	61511.722656	367.223846	1175.90271	10.85638079606073
