Response (V)	Retention time (min)
0.000278	1.2203503791416084
0.000275	1.2220313025288558
0.000274	1.2237122259161033
0.000281	1.2253931493033505
0.000282	1.227074072690598
0.000284	1.2287549960778454
0.000282	1.2304359194650927
0.000287	1.2321168428523401
0.000287	1.2337977662395876
0.000285	1.235478689626835
0.000285	1.2371596130140823
0.000282	1.2388405364013297
0.000284	1.2405214597885772
0.000282	1.2422023831758244
0.00028	1.2438833065630719
0.000276	1.2455642299503193
0.000279	1.2472451533375668
0.000275	1.248926076724814
0.000276	1.2506070001120615
0.000277	1.252287923499309
0.000272	1.2539688468865562
0.000272	1.2556497702738036
0.000278	1.257330693661051
0.000282	1.2590116170482986
0.000276	1.2606925404355458
0.000279	1.2623734638227933
0.000274	1.2640543872100407
0.000272	1.265735310597288
0.000278	1.2674162339845354
0.00028	1.2690971573717829
0.000281	1.2707780807590303
0.000278	1.2724590041462776
0.000274	1.274139927533525
0.000273	1.2758208509207725
0.000276	1.27750177430802
0.00027	1.2791826976952672
0.000271	1.2808636210825146
0.000273	1.282544544469762
0.000272	1.2842254678570093
0.000268	1.2859063912442568
0.000268	1.2875873146315042
0.000267	1.2892682380187517
0.000266	1.290949161405999
0.000268	1.2926300847932464
0.000271	1.2943110081804938
0.000267	1.295991931567741
0.000261	1.2976728549549885
0.000258	1.299353778342236
0.000261	1.3010347017294834
0.00026	1.3027156251167307
0.00026	1.3043965485039781
0.000257	1.3060774718912256
0.000255	1.3077583952784728
0.000258	1.3094393186657203
0.000257	1.3111202420529677
0.000255	1.3128011654402152
0.000258	1.3144820888274624
0.000261	1.3161630122147099
0.00026	1.3178439356019573
0.00026	1.3195248589892046
0.000266	1.321205782376452
0.000259	1.3228867057636995
0.000259	1.324567629150947
0.000261	1.3262485525381942
0.000261	1.3279294759254416
0.000263	1.329610399312689
0.000266	1.3312913226999363
0.000264	1.3329722460871838
0.000262	1.3346531694744312
0.000266	1.3363340928616787
0.000269	1.338015016248926
0.000269	1.3396959396361734
0.000269	1.3413768630234209
0.00027	1.3430577864106683
0.000267	1.3447387097979155
0.000266	1.346419633185163
0.000266	1.3481005565724105
0.000267	1.3497814799596577
0.000268	1.3514624033469052
0.000271	1.3531433267341526
0.000274	1.3548242501214
0.000275	1.3565051735086473
0.000276	1.3581860968958948
0.000275	1.3598670202831422
0.000272	1.3615479436703894
0.000275	1.363228867057637
0.000281	1.3649097904448844
0.000279	1.3665907138321318
0.000275	1.368271637219379
0.000282	1.3699525606066265
0.000281	1.371633483993874
0.000276	1.3733144073811212
0.00028	1.3749953307683687
0.000291	1.3766762541556161
0.000291	1.3783571775428636
0.000288	1.3800381009301108
0.000291	1.3817190243173583
0.000293	1.3833999477046057
0.000289	1.385080871091853
0.000299	1.3867617944791004
0.000299	1.3884427178663479
0.0003	1.3901236412535953
0.000297	1.3918045646408426
0.0003	1.39348548802809
0.000305	1.3951664114153375
0.000304	1.3968473348025847
0.000303	1.3985282581898322
0.000299	1.4002091815770796
0.000297	1.401890104964327
0.000293	1.4035710283515743
0.000294	1.4052519517388218
0.000298	1.4069328751260692
0.000302	1.4086137985133165
0.000301	1.410294721900564
0.000299	1.4119756452878114
0.000304	1.4136565686750588
0.000307	1.415337492062306
0.000306	1.4170184154495535
0.0003	1.418699338836801
0.000305	1.4203802622240485
0.000301	1.4220611856112957
0.000303	1.4237421089985431
0.000303	1.4254230323857906
0.000306	1.4271039557730378
0.000309	1.4287848791602853
0.000305	1.4304658025475327
0.0003	1.4321467259347802
0.000303	1.4338276493220274
0.000309	1.435508572709275
0.000307	1.4371894960965224
0.00031	1.4388704194837696
0.000311	1.440551342871017
0.000305	1.4422322662582645
0.000303	1.443913189645512
0.000302	1.4455941130327592
0.000303	1.4472750364200067
0.000306	1.4489559598072541
0.000303	1.4506368831945013
0.000307	1.4523178065817488
0.000308	1.4539987299689963
0.000305	1.4556796533562437
0.000302	1.457360576743491
0.000297	1.4590415001307384
0.0003	1.4607224235179859
0.000297	1.462403346905233
0.000295	1.4640842702924806
0.000295	1.465765193679728
0.000298	1.4674461170669755
0.0003	1.4691270404542227
0.000296	1.4708079638414702
0.000296	1.4724888872287176
0.000297	1.4741698106159649
0.000295	1.4758507340032123
0.000298	1.4775316573904598
0.000293	1.4792125807777072
0.000296	1.4808935041649545
0.000301	1.482574427552202
0.0003	1.4842553509394494
0.000295	1.4859362743266968
0.000296	1.487617197713944
0.000296	1.4892981211011915
0.000296	1.490979044488439
0.000292	1.4926599678756862
0.000291	1.4943408912629337
0.000291	1.4960218146501811
0.000289	1.4977027380374286
0.000294	1.4993836614246758
0.000297	1.5010645848119233
0.000291	1.5027455081991707
0.000295	1.504426431586418
0.000295	1.5061073549736654
0.000293	1.507788278360913
0.00029	1.5094692017481603
0.000288	1.5111501251354076
0.000291	1.512831048522655
0.00029	1.5145119719099025
0.000294	1.5161928952971497
0.000295	1.5178738186843972
0.000293	1.5195547420716446
0.000295	1.521235665458892
0.000291	1.5229165888461393
0.00029	1.5245975122333868
0.000296	1.5262784356206343
0.000298	1.5279593590078815
0.000298	1.529640282395129
0.000301	1.5313212057823764
0.000309	1.5330021291696239
0.000307	1.534683052556871
